Local time,Open,High,Low,Close,Volume
27.04.2023 07:30:00.000 GMT-0600,0.61234,0.61355,0.61214,0.61330,3476530025.4820995
27.04.2023 08:00:00.000 GMT-0600,0.61329,0.61416,0.61289,0.61296,4990079986.5722
27.04.2023 08:30:00.000 GMT-0600,0.61297,0.61331,0.61257,0.61277,3086989997.863799
27.04.2023 09:00:00.000 GMT-0600,0.61278,0.61382,0.61264,0.61379,1983359987.2589
27.04.2023 09:30:00.000 GMT-0600,0.61380,0.61386,0.61292,0.61307,1116889997.4822001
27.04.2023 10:00:00.000 GMT-0600,0.61307,0.61335,0.61289,0.61302,984959990.5013
27.04.2023 10:30:00.000 GMT-0600,0.61301,0.61339,0.61299,0.61332,1170730000.4959002
27.04.2023 11:00:00.000 GMT-0600,0.61331,0.61398,0.61317,0.61398,899240000.7250999
27.04.2023 11:30:00.000 GMT-0600,0.61399,0.61458,0.61397,0.61426,961170001.0299001
27.04.2023 12:00:00.000 GMT-0600,0.61425,0.61440,0.61392,0.61436,958109998.7031
27.04.2023 12:30:00.000 GMT-0600,0.61437,0.61467,0.61431,0.61453,1121249995.2318
27.04.2023 13:00:00.000 GMT-0600,0.61446,0.61476,0.61446,0.61458,626719995.4988
27.04.2023 13:30:00.000 GMT-0600,0.61460,0.61460,0.61405,0.61423,695499998.5693
27.04.2023 14:00:00.000 GMT-0600,0.61423,0.61448,0.61401,0.61406,599509999.8712001
27.04.2023 14:30:00.000 GMT-0600,0.61408,0.61480,0.61404,0.61472,539310002.3271
27.04.2023 15:00:00.000 GMT-0600,0.61458,0.61458,0.61355,0.61422,339609996.3191
27.04.2023 15:30:00.000 GMT-0600,0.61391,0.61472,0.61381,0.61470,1473079979.0619
27.04.2023 16:00:00.000 GMT-0600,0.61469,0.61471,0.61437,0.61449,885679996.2522
27.04.2023 16:30:00.000 GMT-0600,0.61448,0.61464,0.61443,0.61446,390359998.2262001
27.04.2023 17:00:00.000 GMT-0600,0.61450,0.61466,0.61438,0.61448,789510003.0900003
27.04.2023 17:30:00.000 GMT-0600,0.61447,0.61477,0.61438,0.61449,755850005.1501999
27.04.2023 18:00:00.000 GMT-0600,0.61450,0.61505,0.61447,0.61499,1385439997.6729999
27.04.2023 18:30:00.000 GMT-0600,0.61497,0.61522,0.61472,0.61488,1471829998.4932
27.04.2023 19:00:00.000 GMT-0600,0.61488,0.61501,0.61465,0.61493,1112610001.5642998
27.04.2023 19:30:00.000 GMT-0600,0.61493,0.61592,0.61491,0.61563,2711650018.692199
27.04.2023 20:00:00.000 GMT-0600,0.61564,0.61565,0.61486,0.61515,1382550014.4957
27.04.2023 20:30:00.000 GMT-0600,0.61514,0.61543,0.61498,0.61530,957519994.259
27.04.2023 21:00:00.000 GMT-0600,0.61529,0.61567,0.61509,0.61535,1544839992.5231
27.04.2023 21:30:00.000 GMT-0600,0.61535,0.61556,0.61498,0.61513,1256699987.4113
27.04.2023 22:00:00.000 GMT-0600,0.61513,0.61538,0.61419,0.61438,3650039993.2862005
27.04.2023 22:30:00.000 GMT-0600,0.61435,0.61453,0.61419,0.61432,1170660008.4306998
27.04.2023 23:00:00.000 GMT-0600,0.61430,0.61430,0.61391,0.61405,1340939994.8120997
27.04.2023 23:30:00.000 GMT-0600,0.61406,0.61457,0.61371,0.61406,1745279990.1962996
28.04.2023 00:00:00.000 GMT-0600,0.61405,0.61439,0.61381,0.61394,2169390004.1583
28.04.2023 00:30:00.000 GMT-0600,0.61393,0.61466,0.61352,0.61374,3046189998.6263995
28.04.2023 01:00:00.000 GMT-0600,0.61372,0.61397,0.61233,0.61389,3516709999.084499
28.04.2023 01:30:00.000 GMT-0600,0.61391,0.61399,0.61323,0.61369,2278370012.2833996
28.04.2023 02:00:00.000 GMT-0600,0.61370,0.61389,0.61258,0.61261,2711839992.5232997
28.04.2023 02:30:00.000 GMT-0600,0.61259,0.61312,0.61241,0.61280,2324520013.809399
28.04.2023 03:00:00.000 GMT-0600,0.61282,0.61295,0.61244,0.61283,1615879981.9944003
28.04.2023 03:30:00.000 GMT-0600,0.61285,0.61317,0.61273,0.61290,1581019994.7358
28.04.2023 04:00:00.000 GMT-0600,0.61291,0.61402,0.61274,0.61382,1554770000.4577
28.04.2023 04:30:00.000 GMT-0600,0.61379,0.61455,0.61365,0.61392,2111629991.5314999
28.04.2023 05:00:00.000 GMT-0600,0.61392,0.61430,0.61355,0.61426,1530849987.0298002
28.04.2023 05:30:00.000 GMT-0600,0.61427,0.61506,0.61404,0.61505,1994300004.9591
28.04.2023 06:00:00.000 GMT-0600,0.61504,0.61532,0.61365,0.61366,2374579996.1088
28.04.2023 06:30:00.000 GMT-0600,0.61365,0.61516,0.61302,0.61486,7271089958.1908
28.04.2023 07:00:00.000 GMT-0600,0.61488,0.61637,0.61471,0.61550,3886140014.6487
28.04.2023 07:30:00.000 GMT-0600,0.61550,0.61601,0.61500,0.61540,4558850040.435899
28.04.2023 08:00:00.000 GMT-0600,0.61541,0.61670,0.61512,0.61661,3950209991.455
28.04.2023 08:30:00.000 GMT-0600,0.61659,0.61773,0.61621,0.61749,4804589996.3376
28.04.2023 09:00:00.000 GMT-0600,0.61749,0.61827,0.61696,0.61768,3091139976.501001
28.04.2023 09:30:00.000 GMT-0600,0.61768,0.61845,0.61768,0.61843,2603369983.6729
28.04.2023 10:00:00.000 GMT-0600,0.61843,0.61847,0.61788,0.61813,1656180011.7492998
28.04.2023 10:30:00.000 GMT-0600,0.61812,0.61870,0.61788,0.61857,1429319992.0653
28.04.2023 11:00:00.000 GMT-0600,0.61856,0.61857,0.61792,0.61803,868149996.7574003
28.04.2023 11:30:00.000 GMT-0600,0.61802,0.61834,0.61772,0.61829,1120470005.5124
28.04.2023 12:00:00.000 GMT-0600,0.61828,0.61857,0.61794,0.61819,1005810004.2344999
28.04.2023 12:30:00.000 GMT-0600,0.61822,0.61866,0.61811,0.61863,958050010.6813
28.04.2023 13:00:00.000 GMT-0600,0.61861,0.61866,0.61819,0.61829,724300006.8662999
28.04.2023 13:30:00.000 GMT-0600,0.61827,0.61829,0.61809,0.61827,625169999.3611001
28.04.2023 14:00:00.000 GMT-0600,0.61830,0.61865,0.61829,0.61858,323349997.28200006
28.04.2023 14:30:00.000 GMT-0600,0.61859,0.61862,0.61748,0.61768,828170007.944
28.04.2023 15:00:00.000 GMT-0600,0.61768,0.61768,0.61768,0.61768,0
28.04.2023 15:30:00.000 GMT-0600,0.61768,0.61768,0.61768,0.61768,0
