Local time,Open,High,Low,Close,Volume
27.04.2023 07:30:00.000 GMT-0600,1.09997,1.10126,1.09920,1.10100,21066589996.3378
27.04.2023 08:00:00.000 GMT-0600,1.10101,1.10231,1.10087,1.10122,20608900115.967
27.04.2023 08:30:00.000 GMT-0600,1.10121,1.10212,1.10050,1.10106,12465549957.2755
27.04.2023 09:00:00.000 GMT-0600,1.10107,1.10264,1.10061,1.10259,11315629974.365202
27.04.2023 09:30:00.000 GMT-0600,1.10259,1.10268,1.10150,1.10154,10655839920.044401
27.04.2023 10:00:00.000 GMT-0600,1.10156,1.10202,1.10115,1.10126,6829390037.536698
27.04.2023 10:30:00.000 GMT-0600,1.10129,1.10140,1.10071,1.10084,5210519992.828399
27.04.2023 11:00:00.000 GMT-0600,1.10085,1.10191,1.10055,1.10189,4469019992.8286
27.04.2023 11:30:00.000 GMT-0600,1.10188,1.10246,1.10183,1.10223,4567499973.2973
27.04.2023 12:00:00.000 GMT-0600,1.10224,1.10242,1.10187,1.10241,3218950023.6510005
27.04.2023 12:30:00.000 GMT-0600,1.10240,1.10273,1.10229,1.10269,3654549995.422601
27.04.2023 13:00:00.000 GMT-0600,1.10268,1.10298,1.10250,1.10287,3767579978.9429994
27.04.2023 13:30:00.000 GMT-0600,1.10287,1.10292,1.10226,1.10240,3632489997.864
27.04.2023 14:00:00.000 GMT-0600,1.10241,1.10294,1.10233,1.10274,2597140021.324301
27.04.2023 14:30:00.000 GMT-0600,1.10275,1.10294,1.10271,1.10273,1027160004.8546001
27.04.2023 15:00:00.000 GMT-0600,1.10266,1.10278,1.10255,1.10270,367900001.5256001
27.04.2023 15:30:00.000 GMT-0600,1.10270,1.10275,1.10220,1.10233,952129991.5313001
27.04.2023 16:00:00.000 GMT-0600,1.10235,1.10292,1.10235,1.10286,1921980001.6883996
27.04.2023 16:30:00.000 GMT-0600,1.10286,1.10286,1.10262,1.10266,773119999.3492999
27.04.2023 17:00:00.000 GMT-0600,1.10267,1.10298,1.10265,1.10271,1545780001.0444
27.04.2023 17:30:00.000 GMT-0600,1.10270,1.10338,1.10268,1.10315,3206509986.8774
27.04.2023 18:00:00.000 GMT-0600,1.10315,1.10353,1.10300,1.10350,4758149990.081898
27.04.2023 18:30:00.000 GMT-0600,1.10348,1.10394,1.10306,1.10345,5762080062.8663
27.04.2023 19:00:00.000 GMT-0600,1.10345,1.10345,1.10316,1.10324,3840559989.9288
27.04.2023 19:30:00.000 GMT-0600,1.10324,1.10346,1.10250,1.10267,11282790054.3211
27.04.2023 20:00:00.000 GMT-0600,1.10267,1.10269,1.10187,1.10222,6808720016.4793
27.04.2023 20:30:00.000 GMT-0600,1.10221,1.10222,1.10154,1.10170,5027819961.5479
27.04.2023 21:00:00.000 GMT-0600,1.10170,1.10205,1.10125,1.10180,6297440036.7741
27.04.2023 21:30:00.000 GMT-0600,1.10180,1.10211,1.10180,1.10194,5517390009.880101
27.04.2023 22:00:00.000 GMT-0600,1.10193,1.10218,1.10082,1.10107,12129239990.234495
27.04.2023 22:30:00.000 GMT-0600,1.10103,1.10142,1.10098,1.10136,5260470031.738399
27.04.2023 23:00:00.000 GMT-0600,1.10136,1.10177,1.10111,1.10152,5752709987.6402
27.04.2023 23:30:00.000 GMT-0600,1.10151,1.10222,1.10056,1.10122,9159129959.1066
28.04.2023 00:00:00.000 GMT-0600,1.10122,1.10129,1.10061,1.10107,12118849899.292002
28.04.2023 00:30:00.000 GMT-0600,1.10106,1.10363,1.10059,1.10253,17827089996.3381
28.04.2023 01:00:00.000 GMT-0600,1.10253,1.10253,1.09938,1.10057,17619279953.0029
28.04.2023 01:30:00.000 GMT-0600,1.10059,1.10090,1.09963,1.10085,11033729919.433702
28.04.2023 02:00:00.000 GMT-0600,1.10085,1.10094,1.09788,1.09796,14938860061.645597
28.04.2023 02:30:00.000 GMT-0600,1.09795,1.09909,1.09766,1.09909,13081220153.8085
28.04.2023 03:00:00.000 GMT-0600,1.09910,1.09939,1.09816,1.09886,11907580047.607397
28.04.2023 03:30:00.000 GMT-0600,1.09885,1.09920,1.09829,1.09879,8306879997.253499
28.04.2023 04:00:00.000 GMT-0600,1.09880,1.09985,1.09826,1.09939,8550969970.7031
28.04.2023 04:30:00.000 GMT-0600,1.09939,1.09941,1.09822,1.09838,6297689994.8121
28.04.2023 05:00:00.000 GMT-0600,1.09840,1.09883,1.09811,1.09878,5537000011.444099
28.04.2023 05:30:00.000 GMT-0600,1.09878,1.09881,1.09723,1.09737,7383289993.286201
28.04.2023 06:00:00.000 GMT-0600,1.09736,1.09841,1.09716,1.09762,10049040039.0623
28.04.2023 06:30:00.000 GMT-0600,1.09761,1.09953,1.09624,1.09844,27762379943.847996
28.04.2023 07:00:00.000 GMT-0600,1.09844,1.10156,1.09826,1.10056,19216770111.0839
28.04.2023 07:30:00.000 GMT-0600,1.10055,1.10105,1.09941,1.09996,18566289825.4397
28.04.2023 08:00:00.000 GMT-0600,1.10005,1.10155,1.09907,1.10106,20845250091.5529
28.04.2023 08:30:00.000 GMT-0600,1.10107,1.10412,1.10101,1.10369,25591249969.4828
28.04.2023 09:00:00.000 GMT-0600,1.10367,1.10440,1.10289,1.10357,17911839981.0789
28.04.2023 09:30:00.000 GMT-0600,1.10357,1.10449,1.10356,1.10394,9250119979.8583
28.04.2023 10:00:00.000 GMT-0600,1.10394,1.10406,1.10317,1.10328,9389670021.057098
28.04.2023 10:30:00.000 GMT-0600,1.10327,1.10361,1.10282,1.10308,7542649986.267301
28.04.2023 11:00:00.000 GMT-0600,1.10307,1.10309,1.10251,1.10268,6094360069.275002
28.04.2023 11:30:00.000 GMT-0600,1.10268,1.10280,1.10219,1.10237,5730989936.828699
28.04.2023 12:00:00.000 GMT-0600,1.10235,1.10258,1.10219,1.10222,4216140003.2045007
28.04.2023 12:30:00.000 GMT-0600,1.10221,1.10231,1.10152,1.10170,4518459991.455
28.04.2023 13:00:00.000 GMT-0600,1.10172,1.10205,1.10119,1.10205,3102649986.2670007
28.04.2023 13:30:00.000 GMT-0600,1.10205,1.10208,1.10172,1.10193,3298999986.6483
28.04.2023 14:00:00.000 GMT-0600,1.10194,1.10201,1.10139,1.10196,2714040007.591099
28.04.2023 14:30:00.000 GMT-0600,1.10196,1.10198,1.10142,1.10144,1652070001.6018
28.04.2023 15:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
28.04.2023 15:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
28.04.2023 16:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
28.04.2023 16:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
28.04.2023 17:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
28.04.2023 17:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
28.04.2023 18:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
28.04.2023 18:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
28.04.2023 19:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
28.04.2023 19:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
28.04.2023 20:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
28.04.2023 20:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
28.04.2023 21:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
28.04.2023 21:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
28.04.2023 22:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
28.04.2023 22:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
28.04.2023 23:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
28.04.2023 23:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 00:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 00:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 01:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 01:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 02:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 02:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 03:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 03:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 04:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 04:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 05:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 05:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 06:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 06:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
