Local time,Open,High,Low,Close,Volume
27.04.2023 07:30:00.000 GMT-0600,1.24431,1.24624,1.24410,1.24572,6701649993.896
27.04.2023 08:00:00.000 GMT-0600,1.24574,1.24772,1.24570,1.24631,5783130012.5118
27.04.2023 08:30:00.000 GMT-0600,1.24633,1.24754,1.24588,1.24672,4524649978.637701
27.04.2023 09:00:00.000 GMT-0600,1.24672,1.24926,1.24636,1.24918,4456519981.384
27.04.2023 09:30:00.000 GMT-0600,1.24917,1.24937,1.24667,1.24688,7143949951.171901
27.04.2023 10:00:00.000 GMT-0600,1.24692,1.24774,1.24692,1.24729,3825759998.3214993
27.04.2023 10:30:00.000 GMT-0600,1.24731,1.24750,1.24638,1.24655,1680239999.7711
27.04.2023 11:00:00.000 GMT-0600,1.24655,1.24782,1.24613,1.24781,2151400012.9698997
27.04.2023 11:30:00.000 GMT-0600,1.24781,1.24881,1.24755,1.24835,1758979999.5423002
27.04.2023 12:00:00.000 GMT-0600,1.24836,1.24867,1.24793,1.24863,1696080006.5993001
27.04.2023 12:30:00.000 GMT-0600,1.24865,1.24938,1.24852,1.24935,1931929989.0994992
27.04.2023 13:00:00.000 GMT-0600,1.24935,1.24966,1.24909,1.24950,1577249997.1387
27.04.2023 13:30:00.000 GMT-0600,1.24947,1.24951,1.24880,1.24897,1308959990.9780002
27.04.2023 14:00:00.000 GMT-0600,1.24898,1.24986,1.24884,1.24964,962580009.6991001
27.04.2023 14:30:00.000 GMT-0600,1.24966,1.24994,1.24950,1.24950,615899995.3266
27.04.2023 15:00:00.000 GMT-0600,1.24949,1.24972,1.24853,1.24969,754220002.6511999
27.04.2023 15:30:00.000 GMT-0600,1.24970,1.24979,1.24924,1.24932,1802970006.9429996
27.04.2023 16:00:00.000 GMT-0600,1.24932,1.24967,1.24916,1.24953,3589469969.7492995
27.04.2023 16:30:00.000 GMT-0600,1.24954,1.24958,1.24923,1.24942,2745900009.1551
27.04.2023 17:00:00.000 GMT-0600,1.24943,1.24973,1.24920,1.24920,6271530056.9535
27.04.2023 17:30:00.000 GMT-0600,1.24922,1.24978,1.24910,1.24965,6693039983.749599
27.04.2023 18:00:00.000 GMT-0600,1.24965,1.24997,1.24916,1.24955,3545130014.4195
27.04.2023 18:30:00.000 GMT-0600,1.24955,1.24976,1.24891,1.24961,5587200054.6454
27.04.2023 19:00:00.000 GMT-0600,1.24962,1.24985,1.24935,1.24951,5548500005.722
27.04.2023 19:30:00.000 GMT-0600,1.24954,1.25037,1.24922,1.24949,6932090044.021599
27.04.2023 20:00:00.000 GMT-0600,1.24947,1.24957,1.24883,1.24925,3108449993.1333
27.04.2023 20:30:00.000 GMT-0600,1.24923,1.24925,1.24870,1.24893,3717900017.7382
27.04.2023 21:00:00.000 GMT-0600,1.24892,1.24946,1.24854,1.24905,3539150014.877
27.04.2023 21:30:00.000 GMT-0600,1.24903,1.24960,1.24900,1.24934,1763989990.2345
27.04.2023 22:00:00.000 GMT-0600,1.24934,1.24966,1.24776,1.24796,13240149848.9381
27.04.2023 22:30:00.000 GMT-0600,1.24799,1.24844,1.24795,1.24818,3516609996.7959003
27.04.2023 23:00:00.000 GMT-0600,1.24819,1.24840,1.24770,1.24813,3868670017.2421002
27.04.2023 23:30:00.000 GMT-0600,1.24811,1.24919,1.24670,1.24696,3255770008.0868998
28.04.2023 00:00:00.000 GMT-0600,1.24692,1.24780,1.24643,1.24737,4235409976.9591994
28.04.2023 00:30:00.000 GMT-0600,1.24736,1.24867,1.24655,1.24784,4679590007.782
28.04.2023 01:00:00.000 GMT-0600,1.24781,1.24858,1.24639,1.24787,4705689979.553299
28.04.2023 01:30:00.000 GMT-0600,1.24789,1.24914,1.24731,1.24912,3128400005.3405
28.04.2023 02:00:00.000 GMT-0600,1.24911,1.24932,1.24515,1.24534,5166379989.6239
28.04.2023 02:30:00.000 GMT-0600,1.24530,1.24623,1.24497,1.24551,3106819988.2506013
28.04.2023 03:00:00.000 GMT-0600,1.24550,1.24587,1.24465,1.24586,2826049991.607899
28.04.2023 03:30:00.000 GMT-0600,1.24585,1.24684,1.24544,1.24558,2300349988.9372005
28.04.2023 04:00:00.000 GMT-0600,1.24560,1.24789,1.24462,1.24767,2318249977.1117
28.04.2023 04:30:00.000 GMT-0600,1.24766,1.24776,1.24584,1.24626,2442569988.2506995
28.04.2023 05:00:00.000 GMT-0600,1.24627,1.24713,1.24568,1.24711,1815569980.6211
28.04.2023 05:30:00.000 GMT-0600,1.24712,1.24766,1.24607,1.24705,2390669992.4469995
28.04.2023 06:00:00.000 GMT-0600,1.24706,1.24750,1.24605,1.24698,3072110027.3132005
28.04.2023 06:30:00.000 GMT-0600,1.24697,1.24905,1.24556,1.24871,12096939918.518295
28.04.2023 07:00:00.000 GMT-0600,1.24871,1.25189,1.24851,1.25026,5345749984.741001
28.04.2023 07:30:00.000 GMT-0600,1.25026,1.25150,1.24952,1.25102,5537539932.251201
28.04.2023 08:00:00.000 GMT-0600,1.25100,1.25395,1.25029,1.25340,5709380027.771003
28.04.2023 08:30:00.000 GMT-0600,1.25341,1.25725,1.25247,1.25645,6656110031.128001
28.04.2023 09:00:00.000 GMT-0600,1.25645,1.25803,1.25582,1.25710,5694379997.2534
28.04.2023 09:30:00.000 GMT-0600,1.25710,1.25804,1.25710,1.25803,4305760005.950998
28.04.2023 10:00:00.000 GMT-0600,1.25801,1.25837,1.25746,1.25791,2863959995.2699
28.04.2023 10:30:00.000 GMT-0600,1.25792,1.25811,1.25717,1.25741,2415790016.1745996
28.04.2023 11:00:00.000 GMT-0600,1.25741,1.25743,1.25669,1.25700,2984289963.2455997
28.04.2023 11:30:00.000 GMT-0600,1.25698,1.25752,1.25669,1.25672,1680809990.8830001
28.04.2023 12:00:00.000 GMT-0600,1.25671,1.25745,1.25659,1.25703,1425720005.0352
28.04.2023 12:30:00.000 GMT-0600,1.25702,1.25706,1.25608,1.25638,2073970002.1741004
28.04.2023 13:00:00.000 GMT-0600,1.25640,1.25647,1.25572,1.25635,1705020004.2725
28.04.2023 13:30:00.000 GMT-0600,1.25635,1.25680,1.25614,1.25675,1637550014.4961
28.04.2023 14:00:00.000 GMT-0600,1.25674,1.25685,1.25627,1.25673,1301250008.5832
28.04.2023 14:30:00.000 GMT-0600,1.25674,1.25688,1.25607,1.25608,2050289988.5179002
28.04.2023 15:00:00.000 GMT-0600,1.25608,1.25608,1.25608,1.25608,0
28.04.2023 15:30:00.000 GMT-0600,1.25608,1.25608,1.25608,1.25608,0
28.04.2023 16:00:00.000 GMT-0600,1.25608,1.25608,1.25608,1.25608,0
28.04.2023 16:30:00.000 GMT-0600,1.25608,1.25608,1.25608,1.25608,0
28.04.2023 17:00:00.000 GMT-0600,1.25608,1.25608,1.25608,1.25608,0
28.04.2023 17:30:00.000 GMT-0600,1.25608,1.25608,1.25608,1.25608,0
28.04.2023 18:00:00.000 GMT-0600,1.25608,1.25608,1.25608,1.25608,0
